timestamp,host,status,hop_number,rtt
2025-01-05 11:01:10,8.8.8.8,Success,traceroute,to,8.8.8.8,"(8.8.8.8),",30
2025-01-05 11:01:10,8.8.8.8,Success,1,RTK_GW,(192.168.1.1),2.720,
2025-01-05 11:01:10,8.8.8.8,Success,2,abts-kk-dynamic-001.64.172.122.airtelbroadband.in,(122.172.64.1),12.654,
2025-01-05 11:01:10,8.8.8.8,Success,3,182.79.20.133,(182.79.20.133),18.744,
2025-01-05 11:01:10,8.8.8.8,Success,4,*,*,116.119.158.147,(116.119.158.147)
2025-01-05 11:01:10,8.8.8.8,Success,5,142.250.169.206,(142.250.169.206),25.096,
2025-01-05 11:01:10,8.8.8.8,Success,6,*,*,*,N/A
2025-01-05 11:01:10,8.8.8.8,Success,7,dns.google,(8.8.8.8),21.891,
2025-01-05 11:01:09,8.8.8.8,Success,traceroute,to,8.8.8.8,"(8.8.8.8),",30
2025-01-05 11:01:09,8.8.8.8,Success,1,RTK_GW,(192.168.1.1),2.927,
2025-01-05 11:01:09,8.8.8.8,Success,2,abts-kk-dynamic-001.64.172.122.airtelbroadband.in,(122.172.64.1),20.583,
2025-01-05 11:01:09,8.8.8.8,Success,3,182.79.20.133,(182.79.20.133),25.325,
2025-01-05 11:01:09,8.8.8.8,Success,4,182.79.198.2,(182.79.198.2),25.277,
2025-01-05 11:01:09,8.8.8.8,Success,5,142.250.169.206,(142.250.169.206),26.186,
2025-01-05 11:01:09,8.8.8.8,Success,6,*,*,*,N/A
2025-01-05 11:01:09,8.8.8.8,Success,7,dns.google,(8.8.8.8),20.336,
2025-01-05 11:02:26,8.8.8.8,Success,traceroute,to,8.8.8.8,"(8.8.8.8),",30
2025-01-05 11:02:26,8.8.8.8,Success,1,RTK_GW,(192.168.1.1),3.275,
2025-01-05 11:02:26,8.8.8.8,Success,2,abts-kk-dynamic-001.64.172.122.airtelbroadband.in,(122.172.64.1),21.635,
2025-01-05 11:02:26,8.8.8.8,Success,3,182.79.20.133,(182.79.20.133),21.609,
2025-01-05 11:02:26,8.8.8.8,Success,4,182.79.198.2,(182.79.198.2),21.620,
2025-01-05 11:02:26,8.8.8.8,Success,5,142.250.169.206,(142.250.169.206),27.236,
2025-01-05 11:02:26,8.8.8.8,Success,6,*,*,*,N/A
2025-01-05 11:02:26,8.8.8.8,Success,7,dns.google,(8.8.8.8),21.214,
2025-01-05 11:03:18,8.8.8.8,Success,traceroute,to,8.8.8.8,"(8.8.8.8),",30
2025-01-05 11:03:18,8.8.8.8,Success,1,RTK_GW,(192.168.1.1),3.080,
2025-01-05 11:03:18,8.8.8.8,Success,2,abts-kk-dynamic-001.64.172.122.airtelbroadband.in,(122.172.64.1),36.464,
2025-01-05 11:03:18,8.8.8.8,Success,3,182.79.20.201,(182.79.20.201),17.735,
2025-01-05 11:03:18,8.8.8.8,Success,4,182.79.198.2,(182.79.198.2),22.233,
2025-01-05 11:03:18,8.8.8.8,Success,5,142.250.169.206,(142.250.169.206),23.962,
2025-01-05 11:03:18,8.8.8.8,Success,6,*,*,*,N/A
2025-01-05 11:03:18,8.8.8.8,Success,7,dns.google,(8.8.8.8),22.504,
2025-01-05 11:05:22,8.8.8.8,Success,traceroute,to,8.8.8.8,"(8.8.8.8),",30
2025-01-05 11:05:22,8.8.8.8,Success,1,RTK_GW,(192.168.1.1),1.613,
2025-01-05 11:05:22,8.8.8.8,Success,2,abts-kk-dynamic-001.64.172.122.airtelbroadband.in,(122.172.64.1),39.342,
2025-01-05 11:05:22,8.8.8.8,Success,3,182.79.20.201,(182.79.20.201),16.866,
2025-01-05 11:05:22,8.8.8.8,Success,4,182.79.198.2,(182.79.198.2),21.852,
2025-01-05 11:05:22,8.8.8.8,Success,5,*,142.250.169.206,(142.250.169.206),23.163
2025-01-05 11:05:22,8.8.8.8,Success,6,*,*,*,N/A
2025-01-05 11:05:22,8.8.8.8,Success,7,dns.google,(8.8.8.8),18.722,
2025-01-05 11:05:50,8.8.8.8,Success,traceroute,to,8.8.8.8,"(8.8.8.8),",30
2025-01-05 11:05:50,8.8.8.8,Success,1,RTK_GW,(192.168.1.1),1.421,
2025-01-05 11:05:50,8.8.8.8,Success,2,abts-kk-dynamic-001.64.172.122.airtelbroadband.in,(122.172.64.1),15.332,
2025-01-05 11:05:50,8.8.8.8,Success,3,182.79.20.201,(182.79.20.201),15.295,
2025-01-05 11:05:50,8.8.8.8,Success,4,*,182.79.142.218,(182.79.142.218),26.748
2025-01-05 11:05:50,8.8.8.8,Success,5,142.250.169.206,(142.250.169.206),28.202,
2025-01-05 11:05:50,8.8.8.8,Success,6,*,*,*,N/A
2025-01-05 11:05:50,8.8.8.8,Success,7,dns.google,(8.8.8.8),19.813,
2025-01-05 11:07:37,8.8.8.8,Success,traceroute,to,8.8.8.8,"(8.8.8.8),",30
2025-01-05 11:07:37,8.8.8.8,Success,1,RTK_GW,(192.168.1.1),2.194,
2025-01-05 11:07:37,8.8.8.8,Success,2,abts-kk-dynamic-001.64.172.122.airtelbroadband.in,(122.172.64.1),12.185,
2025-01-05 11:07:37,8.8.8.8,Success,3,182.79.20.133,(182.79.20.133),20.091,
2025-01-05 11:07:37,8.8.8.8,Success,4,116.119.158.147,(116.119.158.147),23.450,
2025-01-05 11:07:37,8.8.8.8,Success,5,142.250.169.206,(142.250.169.206),25.084,
2025-01-05 11:07:37,8.8.8.8,Success,6,*,*,*,N/A
2025-01-05 11:07:37,8.8.8.8,Success,7,dns.google,(8.8.8.8),19.210,
